 0.000	11.705	 7.280	29.732	32.016	 8.062	35.014	11.180	46.239	15.556	21.260	
11.705	 0.000	14.213	19.416	21.587	 5.831	24.187	11.402	34.540	 7.000	11.180	
 7.280	14.213	 0.000	33.601	30.594	 8.485	33.956	18.000	47.508	20.125	25.239	
29.732	19.416	33.601	 0.000	23.259	25.239	23.022	21.932	21.213	14.213	 8.485	
32.016	21.587	30.594	23.259	 0.000	24.000	 3.606	32.311	21.095	24.187	21.932	
 8.062	 5.831	 8.485	25.239	24.000	 0.000	27.074	13.416	39.357	12.369	17.000	
35.014	24.187	33.956	23.022	 3.606	27.074	 0.000	34.482	17.889	26.000	23.022	
11.180	11.402	18.000	21.932	32.311	13.416	34.482	 0.000	41.437	 9.000	14.318	
46.239	34.540	47.508	21.213	21.095	39.357	17.889	41.437	 0.000	32.558	27.166	
15.556	 7.000	20.125	14.213	24.187	12.369	26.000	 9.000	32.558	 0.000	 5.831	
21.260	11.180	25.239	 8.485	21.932	17.000	23.022	14.318	27.166	 5.831	 0.000	
