 0.000	25.080	36.797	 4.472	36.056	33.242	 8.000	27.893	21.587	19.849	38.833	12.369	
25.080	 0.000	29.000	27.074	38.275	49.578	33.061	43.186	37.802	41.485	34.132	31.305	
36.797	29.000	 0.000	41.110	14.765	37.216	42.638	32.000	30.594	56.569	 5.831	31.765	
 4.472	27.074	41.110	 0.000	40.497	36.401	 7.211	31.401	25.179	15.811	43.267	16.031	
36.056	38.275	14.765	40.497	 0.000	24.187	39.446	20.248	21.401	54.203	10.198	26.627	
33.242	49.578	37.216	36.401	24.187	 0.000	31.257	 6.403	12.207	44.102	34.015	21.024	
 8.000	33.061	42.638	 7.211	39.446	31.257	 0.000	27.019	21.213	14.765	43.863	13.000	
27.893	43.186	32.000	31.401	20.248	 6.403	27.019	 0.000	 6.325	40.792	29.428	15.524	
21.587	37.802	30.594	25.179	21.401	12.207	21.213	 6.325	 0.000	35.440	29.155	 9.220	
19.849	41.485	56.569	15.811	54.203	44.102	14.765	40.792	35.440	 0.000	58.258	27.731	
38.833	34.132	 5.831	43.267	10.198	34.015	43.863	29.428	29.155	58.258	 0.000	32.016	
12.369	31.305	31.765	16.031	26.627	21.024	13.000	15.524	 9.220	27.731	32.016	 0.000	
