 0.000	15.652	10.296	14.000	29.682	32.062	17.205	33.601	20.616	21.401	35.609	17.029	 5.831	
15.652	 0.000	24.839	 7.000	43.863	40.804	17.000	48.083	 6.325	31.575	50.210	32.450	13.454	
10.296	24.839	 0.000	21.024	19.416	24.042	19.026	23.431	28.653	25.060	25.495	 8.246	11.662	
14.000	 7.000	21.024	 0.000	39.051	34.176	10.000	43.417	 7.810	33.615	45.607	29.155	 9.487	
29.682	43.863	19.416	39.051	 0.000	19.313	33.541	 4.472	46.861	38.013	 6.708	14.318	30.414	
32.062	40.804	24.042	34.176	19.313	 0.000	25.060	22.561	41.146	48.847	24.331	25.807	29.155	
17.205	17.000	19.026	10.000	33.541	25.060	 0.000	38.013	16.155	38.601	40.249	27.019	11.402	
33.601	48.083	23.431	43.417	 4.472	22.561	38.013	 0.000	51.225	40.112	 2.236	17.464	34.655	
20.616	 6.325	28.653	 7.810	46.861	41.146	16.155	51.225	 0.000	37.855	53.413	36.674	17.000	
21.401	31.575	25.060	33.615	38.013	48.847	38.601	40.112	37.855	 0.000	41.304	24.331	27.203	
35.609	50.210	25.495	45.607	 6.708	24.331	40.249	 2.236	53.413	41.304	 0.000	19.235	36.797	
17.029	32.450	 8.246	29.155	14.318	25.807	27.019	17.464	36.674	24.331	19.235	 0.000	19.698	
 5.831	13.454	11.662	 9.487	30.414	29.155	11.402	34.655	17.000	27.203	36.797	19.698	 0.000	
