0.000	5.000	7.616	15.000	17.000	4.472	14.422	13.601	13.342	5.831	
0.000	0.000	0.000	12.649	12.649	0.000	9.434	8.602	10.817	7.280	
0.000	0.000	0.000	0.000	12.042	0.000	7.071	0.000	8.485	10.198	
15.000	12.649	0.000	0.000	0.000	0.000	0.000	13.038	0.000	0.000	
0.000	12.649	0.000	8.000	0.000	0.000	0.000	7.616	0.000	0.000	
4.472	0.000	3.162	0.000	13.601	0.000	10.000	0.000	10.296	0.000	
14.422	0.000	0.000	0.000	8.062	0.000	0.000	1.000	0.000	0.000	
13.601	8.602	6.403	13.038	0.000	0.000	0.000	0.000	0.000	14.318	
0.000	10.817	0.000	22.204	0.000	10.296	0.000	0.000	0.000	17.889	
0.000	7.280	0.000	10.440	0.000	7.616	15.297	14.318	17.889	0.000	
