50000: 		0.00456937 0.00453391 0.00459687 0.00457059 0.00455854 
100000: 		0.00954402 0.00960243 0.00953943 0.00956793 0.00954474 
150000: 		0.0135709 0.0135417 0.0135692 0.0135386 0.0135513 
200000: 		0.0200361 0.0200734 0.020062 0.0200364 0.0199528 
250000: 		0.0223253 0.0223292 0.022364 0.0222341 0.0222829 
300000: 		0.0284089 0.0283706 0.028515 0.0285139 0.0284989 
350000: 		0.0350393 0.0348127 0.0348286 0.034877 0.034953 
400000: 		0.0601677 0.0430954 0.0430974 0.0430734 0.0430951 
450000: 		0.0420534 0.0418145 0.0418631 0.0418215 0.0418422 
500000: 		0.0475591 0.0475422 0.0476842 0.0475174 0.0475387 
550000: 		0.0539459 0.0541544 0.0540246 0.0542391 0.0539996 
600000: 		0.0604425 0.0605846 0.0604454 0.0606316 0.0606278 
650000: 		0.0671423 0.067148 0.0672794 0.0671976 0.0673209 
700000: 		0.07455 0.0741787 0.0742141 0.0742108 0.0743957 
750000: 		0.0815484 0.0814293 0.0815373 0.0815799 0.0815355 
800000: 		0.0890447 0.0887953 0.0889946 0.0888507 0.088918 
850000: 		0.0817246 0.081792 0.0816674 0.0818332 0.0816439 
900000: 		0.0877673 0.0876937 0.0877869 0.0880499 0.0878995 
950000: 		0.0938114 0.0939512 0.0940384 0.0940415 0.0939267 
1000000: 		0.100097 0.100202 0.109591 0.100014 0.0999644 
1050000: 		0.106765 0.105604 0.105407 0.105672 0.105465 
1100000: 		0.111963 0.112329 0.111792 0.111839 0.112153 
1150000: 		0.118316 0.118436 0.118693 0.118398 0.118571 
1200000: 		0.125066 0.124474 0.124799 0.124518 0.125653 
1250000: 		0.13215 0.132059 0.132255 0.132164 0.131337 
