5000: 		0.0722229 0.0721302 0.0723251 0.0722382 0.0721605 
10000: 		0.289129 0.289226 0.289257 0.288925 0.288924 
15000: 		0.650954 0.650447 0.650964 0.650374 0.650701 
20000: 		1.15676 1.1564 1.15677 1.15672 1.15778 
25000: 		1.80947 1.80758 1.80874 1.8082 1.80865 
30000: 		2.60199 2.60359 2.60358 2.60351 2.60361 
35000: 		3.54415 3.54412 3.54429 3.54379 3.54524 
40000: 		4.62959 4.62936 4.62921 4.6288 4.62915 
45000: 		5.85958 5.85863 5.85764 5.85845 5.85802 
50000: 		7.23143 7.23106 7.22963 7.23111 7.23025 
55000: 		8.7454 8.74796 8.74167 8.74275 8.74355 
60000: 		10.4093 10.4069 10.4027 10.399 10.4016 
65000: 		12.202 12.2101 12.204 12.1996 12.1997 
70000: 		14.1554 14.1522 14.1466 14.1318 14.1461 
75000: 		16.2304 16.2422 16.233 16.2448 16.2543 
80000: 		18.4848 18.4745 18.4756 18.4708 18.4557 
85000: 		20.8348 20.8422 20.8562 20.8507 20.861 
90000: 		23.3868 23.379 23.3944 23.4204 23.4228 
95000: 		26.0888 26.0916 26.0833 26.0818 26.0761 
100000: 		28.8861 28.8701 28.8784 28.8856 28.8841 
105000: 		31.8435 31.8368 31.8469 31.8436 31.8684 
110000: 		35.0842 35.1228 35.0472 35.0135 34.9939 
115000: 		38.2716 38.2381 38.2969 38.4436 38.3456 
120000: 		40.9837 41.7033 41.6183 41.6126 41.8335 
125000: 		45.4913 45.3673 45.3116 45.2557 45.2329 
