5000: 		0.00434738 0.00630178 0.00403932 0.0053039 0.00430806 
10000: 		0.0157693 0.0188873 0.0152042 0.0169404 0.0152938 
15000: 		0.0328822 0.03544 0.0334512 0.036316 0.0328396 
20000: 		0.0546844 0.0601382 0.0552596 0.054601 0.0547771 
25000: 		0.0852588 0.0847733 0.0904543 0.084815 0.0889601 
30000: 		0.123557 0.125435 0.125209 0.123742 0.123551 
35000: 		0.167196 0.165124 0.166706 0.168915 0.165259 
40000: 		0.217382 0.216796 0.217061 0.221424 0.214968 
45000: 		0.273378 0.274519 0.273261 0.271927 0.271723 
50000: 		0.334674 0.361611 0.335416 0.338369 0.338758 
55000: 		0.405143 0.410785 0.407715 0.405551 0.413478 
60000: 		0.486315 0.487339 0.483573 0.484507 0.509952 
65000: 		0.567027 0.565029 0.572018 0.566053 0.567921 
70000: 		0.656138 0.655611 0.656356 0.680766 0.660113 
75000: 		0.749219 0.751378 0.756278 0.755628 0.754023 
80000: 		0.886041 0.857201 0.856986 0.852816 0.860958 
85000: 		0.970652 0.987153 0.964723 0.961965 0.965896 
90000: 		1.07473 1.07375 1.07725 1.07493 1.07584 
95000: 		1.20178 1.19877 1.19891 1.1992 1.20124 
100000: 		1.33708 1.32865 1.32782 1.32745 1.33052 
105000: 		1.4661 1.49187 1.48043 1.47645 1.4604 
110000: 		1.62251 1.61334 1.62041 1.61506 1.6166 
115000: 		1.75453 1.75578 1.75342 1.75049 1.74957 
120000: 		1.92534 1.92109 1.90553 1.90775 1.90904 
125000: 		2.07835 2.04645 2.06192 2.06276 2.04686 
