50000: 		0.00460228 0.00459533 0.00454284 0.00454567 0.00469749 
100000: 		0.00964588 0.0100163 0.00959036 0.00962199 0.00959149 
150000: 		0.0136162 0.0135753 0.0135839 0.013568 0.0136095 
200000: 		0.0201055 0.0201207 0.0201161 0.0200967 0.0201795 
250000: 		0.0224818 0.0223828 0.0223787 0.0223167 0.022366 
300000: 		0.0285435 0.0284451 0.0284692 0.0284674 0.0284391 
350000: 		0.0351592 0.0351066 0.0350953 0.0350523 0.0350134 
400000: 		0.0420974 0.0420928 0.0421983 0.0420503 0.0420988 
450000: 		0.0412371 0.0414792 0.0412636 0.0412426 0.0413459 
500000: 		0.0471664 0.0470879 0.0471655 0.0472009 0.0471638 
550000: 		0.0536014 0.0534672 0.0535987 0.0535672 0.0533515 
600000: 		0.059702 0.0597301 0.0599568 0.0599557 0.0596828 
650000: 		0.0666575 0.0664733 0.0664038 0.0666116 0.066607 
700000: 		0.0733862 0.0733198 0.0733937 0.0733005 0.0892659 
750000: 		0.0831224 0.0832642 0.0821102 0.0822344 0.0819583 
800000: 		0.0894212 0.0894731 0.0892872 0.0884286 0.0885462 
850000: 		0.0815803 0.081621 0.0820365 0.0820255 0.0823003 
900000: 		0.0880233 0.0880478 0.0882229 0.0879417 0.0878778 
950000: 		0.0942987 0.0941335 0.0940327 0.0940385 0.0943584 
1000000: 		0.100269 0.100224 0.100148 0.100226 0.100108 
1050000: 		0.106712 0.106716 0.106754 0.10675 0.10672 
1100000: 		0.113434 0.113649 0.1137 0.113732 0.113674 
1150000: 		0.120346 0.120229 0.12045 0.120041 0.120277 
1200000: 		0.126157 0.126728 0.126969 0.126365 0.127086 
1250000: 		0.133698 0.133306 0.134034 0.134193 0.134059 
