5000: 		0.0108786 0.0108915 0.0108693 0.0109318 0.0108703 
10000: 		0.042548 0.0425104 0.0424722 0.0423996 0.0423734 
15000: 		0.095386 0.0953715 0.0954037 0.0954641 0.0954308 
20000: 		0.168505 0.168514 0.168645 0.168613 0.168782 
25000: 		0.263411 0.263762 0.265121 0.265158 0.265061 
30000: 		0.380965 0.376071 0.376243 0.379705 0.379528 
35000: 		0.518973 0.547663 0.521011 0.520397 0.520318 
40000: 		0.678499 0.680448 0.682147 0.677115 0.679623 
45000: 		0.85788 0.860844 0.855511 0.859808 0.857231 
50000: 		1.05858 1.08373 1.0585 1.05435 1.05537 
55000: 		1.27424 1.31265 1.29072 1.2812 1.28725 
60000: 		1.54833 1.52559 1.52333 1.52401 1.52362 
65000: 		1.78757 1.78438 1.81787 1.78725 1.79786 
70000: 		2.1091 2.07121 2.06907 2.07529 2.07986 
75000: 		2.38034 2.37684 2.3856 2.38278 2.37617 
80000: 		2.6953 2.75429 2.71758 2.71122 2.71896 
85000: 		3.07816 3.05246 3.04957 3.04561 3.04188 
90000: 		3.42608 3.42497 3.42115 3.41146 3.41895 
95000: 		3.81372 3.80966 3.80192 3.81032 3.81376 
100000: 		4.2291 4.2342 4.22388 4.23432 4.21572 
105000: 		4.64755 4.63389 4.66008 4.6551 4.65296 
110000: 		5.10384 5.11159 5.16832 5.13954 5.14884 
115000: 		5.60162 5.58365 5.63472 5.62788 5.61082 
120000: 		6.10045 6.07044 6.08713 6.09269 6.06793 
125000: 		6.61583 6.59599 6.62446 6.58073 6.60126 
