 0.000	33.734	31.401	38.184	22.561	26.907	37.736	32.985	21.401	45.880	50.567	43.186	18.601	43.966	
33.734	 0.000	34.928	34.525	11.180	30.887	27.019	15.033	22.361	13.454	19.105	10.440	31.113	10.817	
31.401	34.928	 0.000	 8.246	30.150	 5.099	13.928	21.401	42.426	47.508	53.339	37.643	12.806	44.418	
38.184	34.525	 8.246	 0.000	32.388	11.402	 8.602	19.647	46.174	45.880	51.624	34.886	20.000	42.720	
22.561	11.180	30.150	32.388	 0.000	25.318	26.926	16.401	15.000	23.707	28.844	21.024	22.825	21.541	
26.907	30.887	 5.099	11.402	25.318	 0.000	14.000	18.439	37.336	43.829	49.649	34.655	 8.602	40.804	
37.736	27.019	13.928	 8.602	26.926	14.000	 0.000	12.000	41.593	37.643	43.324	26.401	21.587	34.482	
32.985	15.033	21.401	19.647	16.401	18.439	12.000	 0.000	31.401	26.401	32.202	16.279	22.136	23.259	
21.401	22.361	42.426	46.174	15.000	37.336	41.593	31.401	 0.000	30.017	33.242	32.696	32.062	29.275	
45.880	13.454	47.508	45.880	23.707	43.829	37.643	26.401	30.017	 0.000	 5.831	12.000	44.553	 3.162	
50.567	19.105	53.339	51.624	28.844	49.649	43.324	32.202	33.242	 5.831	 0.000	17.263	50.210	 8.944	
43.186	10.440	37.643	34.886	21.024	34.655	26.401	16.279	32.696	12.000	17.263	 0.000	37.216	 9.055	
18.601	31.113	12.806	20.000	22.825	 8.602	21.587	22.136	32.062	44.553	50.210	37.216	 0.000	41.773	
43.966	10.817	44.418	42.720	21.541	40.804	34.482	23.259	29.275	 3.162	 8.944	 9.055	41.773	 0.000	
