 0.000	50.606	20.125	29.206	33.615	13.038	22.847	29.547	27.514	25.456	22.204	47.413	
50.606	 0.000	31.113	23.409	27.000	37.643	32.573	44.922	26.077	25.554	33.287	 9.220	
20.125	31.113	 0.000	14.000	22.561	 7.280	15.000	22.847	 8.000	 9.000	 7.211	27.295	
29.206	23.409	14.000	 0.000	 9.434	17.464	 9.220	36.139	16.125	 5.000	20.396	24.021	
33.615	27.000	22.561	 9.434	 0.000	24.083	10.770	45.222	25.554	13.928	29.411	30.364	
13.038	37.643	 7.280	17.464	24.083	 0.000	14.142	24.839	15.133	13.038	11.705	34.438	
22.847	32.573	15.000	 9.220	10.770	14.142	 0.000	37.590	20.809	 9.487	22.204	33.015	
29.547	44.922	22.847	36.139	45.222	24.839	37.590	 0.000	21.024	31.321	15.811	37.162	
27.514	26.077	 8.000	16.125	25.554	15.133	20.809	21.024	 0.000	12.042	 7.211	20.616	
25.456	25.554	 9.000	 5.000	13.928	13.038	 9.487	31.321	12.042	 0.000	15.524	24.331	
22.204	33.287	 7.211	20.396	29.411	11.705	22.204	15.811	 7.211	15.524	 0.000	27.586	
47.413	 9.220	27.295	24.021	30.364	34.438	33.015	37.162	20.616	24.331	27.586	 0.000	
