 0.000	16.125	25.495	32.202	13.454	13.892	36.892	36.401	26.926	31.048	37.577	31.780	13.601	31.765	11.180	13.342	
16.125	 0.000	11.402	19.723	12.530	25.080	23.431	42.012	13.454	17.205	22.804	15.811	 3.606	40.460	16.643	29.428	
25.495	11.402	 0.000	24.021	15.524	36.235	25.710	53.151	 2.236	 5.831	22.847	13.416	15.000	51.856	28.018	38.053	
32.202	19.723	24.021	 0.000	32.249	33.734	 5.099	39.395	26.000	27.295	 8.544	13.000	19.849	41.976	25.298	44.777	
13.454	12.530	15.524	32.249	 0.000	27.019	35.805	48.332	16.125	20.025	34.655	26.401	13.342	44.654	21.541	23.770	
13.892	25.080	36.235	33.734	27.019	 0.000	38.833	23.195	38.079	42.059	41.195	38.328	21.541	17.889	 9.055	16.155	
36.892	23.431	25.710	 5.099	35.805	38.833	 0.000	43.658	27.459	28.018	 5.000	13.000	24.083	46.690	30.364	49.649	
36.401	42.012	53.151	39.395	48.332	23.195	43.658	 0.000	55.317	58.728	47.927	49.649	38.601	 8.602	26.833	38.118	
26.926	13.454	 2.236	26.000	16.125	38.079	27.459	55.317	 0.000	 4.123	24.352	14.866	17.029	53.907	30.000	39.205	
31.048	17.205	 5.831	27.295	20.025	42.059	28.018	58.728	 4.123	 0.000	24.331	15.033	20.809	57.628	33.838	43.290	
37.577	22.804	22.847	 8.544	34.655	41.195	 5.000	47.927	24.352	24.331	 0.000	 9.487	24.187	50.448	32.388	50.695	
31.780	15.811	13.416	13.000	26.401	38.328	13.000	49.649	14.866	15.033	 9.487	 0.000	18.248	50.567	29.275	45.122	
13.601	 3.606	15.000	19.849	13.342	21.541	24.083	38.601	17.029	20.809	24.187	18.248	 0.000	36.878	13.038	26.926	
31.765	40.460	51.856	41.976	44.654	17.889	46.690	 8.602	53.907	57.628	50.448	50.567	36.878	 0.000	24.042	31.064	
11.180	16.643	28.018	25.298	21.541	 9.055	30.364	26.833	30.000	33.838	32.388	29.275	13.038	24.042	 0.000	20.518	
13.342	29.428	38.053	44.777	23.770	16.155	49.649	38.118	39.205	43.290	50.695	45.122	26.926	31.064	20.518	 0.000	
