 0.000	44.204	30.594	34.482	27.857	18.111	32.558	42.426	37.947	34.928	19.647	41.049	28.443	
44.204	 0.000	33.377	37.054	38.079	30.232	21.213	33.734	15.033	41.110	54.918	25.710	32.757	
30.594	33.377	 0.000	 5.000	 5.657	14.422	12.166	12.000	18.974	 8.246	28.178	13.601	 2.236	
34.482	37.054	 5.000	 0.000	 7.000	19.209	16.031	 9.849	22.204	 4.123	29.411	14.422	 7.071	
27.857	38.079	 5.657	 7.000	 0.000	14.422	17.088	16.492	24.166	 7.211	22.847	19.209	 5.385	
18.111	30.232	14.422	19.209	14.422	 0.000	14.560	25.298	20.591	21.260	24.698	23.000	12.207	
32.558	21.213	12.166	16.031	17.088	14.560	 0.000	15.620	 7.211	20.000	36.797	 9.849	11.705	
42.426	33.734	12.000	 9.849	16.492	25.298	15.620	 0.000	18.974	12.806	39.217	 8.062	14.036	
37.947	15.033	18.974	22.204	24.166	20.591	 7.211	18.974	 0.000	26.306	43.841	11.180	18.788	
34.928	41.110	 8.246	 4.123	 7.211	21.260	20.000	12.806	26.306	 0.000	27.459	18.358	 9.849	
19.647	54.918	28.178	29.411	22.847	24.698	36.797	39.217	43.841	27.459	 0.000	41.677	26.926	
41.049	25.710	13.601	14.422	19.209	23.000	 9.849	 8.062	11.180	18.358	41.677	 0.000	14.765	
28.443	32.757	 2.236	 7.071	 5.385	12.207	11.705	14.036	18.788	 9.849	26.926	14.765	 0.000	
