 0.000	31.401	45.310	12.042	 2.828	 8.062	36.359	12.207	21.213	30.150	13.038	41.593	32.985	24.515	
31.401	 0.000	24.352	41.146	31.906	28.231	45.607	37.000	10.770	24.597	23.324	38.833	21.401	14.036	
45.310	24.352	 0.000	50.220	44.283	38.471	37.643	44.204	27.074	18.439	43.186	24.021	13.454	37.656	
12.042	41.146	50.220	 0.000	10.050	13.038	30.806	 6.325	30.414	32.650	25.080	40.311	36.892	36.222	
 2.828	31.906	44.283	10.050	 0.000	 6.083	33.615	 9.434	21.401	28.443	15.297	39.319	31.623	26.173	
 8.062	28.231	38.471	13.038	 6.083	 0.000	29.206	 9.055	17.464	22.361	16.643	33.541	25.632	25.179	
36.359	45.607	37.643	30.806	33.615	29.206	 0.000	25.632	37.577	22.023	45.255	15.620	27.019	50.249	
12.207	37.000	44.204	 6.325	 9.434	 9.055	25.632	 0.000	26.249	26.420	24.352	34.132	30.806	34.059	
21.213	10.770	27.074	30.414	21.401	17.464	37.577	26.249	 0.000	19.209	16.125	34.059	18.385	13.454	
30.150	24.597	18.439	32.650	28.443	22.361	22.023	26.420	19.209	 0.000	32.573	14.866	 5.385	32.650	
13.038	23.324	43.186	25.080	15.297	16.643	45.255	24.352	16.125	32.573	 0.000	46.519	33.377	12.530	
41.593	38.833	24.021	40.311	39.319	33.541	15.620	34.132	34.059	14.866	46.519	 0.000	17.493	47.508	
32.985	21.401	13.454	36.892	31.623	25.632	27.019	30.806	18.385	 5.385	33.377	17.493	 0.000	31.385	
24.515	14.036	37.656	36.222	26.173	25.179	50.249	34.059	13.454	32.650	12.530	47.508	31.385	 0.000	
