 0.000	15.232	26.249	42.190	47.434	11.180	34.438	 2.828	17.720	33.287	
15.232	 0.000	34.015	40.249	39.013	24.021	19.235	16.492	14.213	18.439	
26.249	34.015	 0.000	25.554	40.608	16.553	48.260	23.431	22.204	45.044	
42.190	40.249	25.554	 0.000	19.235	37.483	44.204	40.050	26.571	40.000	
47.434	39.013	40.608	19.235	 0.000	47.170	34.000	46.239	29.732	29.967	
11.180	24.021	16.553	37.483	47.170	 0.000	42.202	 8.544	19.209	40.162	
34.438	19.235	48.260	44.204	34.000	42.202	 0.000	35.468	26.077	 4.243	
 2.828	16.492	23.431	40.050	46.239	 8.544	35.468	 0.000	16.553	34.000	
17.720	14.213	22.204	26.571	29.732	19.209	26.077	16.553	 0.000	23.022	
33.287	18.439	45.044	40.000	29.967	40.162	 4.243	34.000	23.022	 0.000	
