 0.000	18.439	24.083	32.000	34.059	33.734	34.132	 6.000	34.785	 6.325	18.601	21.633	12.369	31.016	 2.236	
18.439	 0.000	36.770	14.560	36.056	15.297	33.541	18.111	16.553	13.416	13.038	 8.000	26.401	13.928	18.028	
24.083	36.770	 0.000	51.264	21.260	50.220	24.839	20.000	49.497	29.732	27.166	34.525	32.696	50.695	26.249	
32.000	14.560	51.264	 0.000	48.083	 7.071	44.688	32.558	11.045	26.077	25.807	18.439	37.000	 1.414	31.064	
34.059	36.056	21.260	48.083	 0.000	44.204	 5.000	28.071	41.881	36.878	23.022	29.732	46.011	48.104	36.125	
33.734	15.297	50.220	 7.071	44.204	 0.000	40.361	33.015	 4.000	28.460	23.409	15.811	40.706	 8.246	33.242	
34.132	33.541	24.839	44.688	 5.000	40.361	 0.000	28.160	37.802	36.125	20.616	26.627	46.390	44.822	36.056	
 6.000	18.111	20.000	32.558	28.071	33.015	28.160	 0.000	33.377	10.000	14.213	18.974	18.248	31.780	 8.062	
34.785	16.553	49.497	11.045	41.881	 4.000	37.802	33.377	 0.000	29.967	22.361	15.033	42.720	12.166	34.540	
 6.325	13.416	29.732	26.077	36.878	28.460	36.125	10.000	29.967	 0.000	17.720	18.439	13.454	25.020	 5.000	
18.601	13.038	27.166	25.807	23.022	23.409	20.616	14.213	22.361	17.720	 0.000	 7.616	30.414	25.612	19.723	
21.633	 8.000	34.525	18.439	29.732	15.811	26.627	18.974	15.033	18.439	 7.616	 0.000	31.890	18.385	22.023	
12.369	26.401	32.696	37.000	46.011	40.706	46.390	18.248	42.720	13.454	30.414	31.890	 0.000	35.735	10.770	
31.016	13.928	50.695	 1.414	48.104	 8.246	44.822	31.780	12.166	25.020	25.612	18.385	35.735	 0.000	30.017	
 2.236	18.028	26.249	31.064	36.125	33.242	36.056	 8.062	34.540	 5.000	19.723	22.023	10.770	30.017	 0.000	
