 0.000	22.561	16.000	 8.602	18.385	23.259	47.011	16.492	26.077	24.515	
22.561	 0.000	30.414	29.547	26.627	45.541	63.127	27.659	45.000	10.198	
16.000	30.414	 0.000	10.296	 7.071	21.840	33.015	 4.000	15.232	26.401	
 8.602	29.547	10.296	 0.000	15.620	16.279	38.626	12.728	17.493	29.069	
18.385	26.627	 7.071	15.620	 0.000	28.862	36.770	 3.162	21.587	20.809	
23.259	45.541	21.840	16.279	28.862	 0.000	33.061	25.710	13.892	45.277	
47.011	63.127	33.015	38.626	36.770	33.061	 0.000	35.468	21.587	57.385	
16.492	27.659	 4.000	12.728	 3.162	25.710	35.468	 0.000	18.974	22.825	
26.077	45.000	15.232	17.493	21.587	13.892	21.587	18.974	 0.000	41.629	
24.515	10.198	26.401	29.069	20.809	45.277	57.385	22.825	41.629	 0.000	
