 0.000	53.907	28.443	26.077	22.023	12.369	36.878	43.324	12.042	41.785	32.016	
53.907	 0.000	32.696	36.249	40.706	47.802	17.029	49.000	46.141	20.100	33.242	
28.443	32.696	 0.000	 3.606	 8.485	17.889	19.000	23.022	27.893	14.866	32.802	
26.077	36.249	 3.606	 0.000	 5.000	14.866	22.091	21.932	26.926	18.385	34.132	
22.023	40.706	 8.485	 5.000	 0.000	10.198	25.710	23.022	24.698	23.345	34.928	
12.369	47.802	17.889	14.866	10.198	 0.000	31.385	31.016	18.601	32.450	34.234	
36.878	17.029	19.000	22.091	25.710	31.385	 0.000	40.162	29.547	14.213	21.190	
43.324	49.000	23.022	21.932	23.022	31.016	40.162	 0.000	47.707	29.069	55.803	
12.042	46.141	27.893	26.926	24.698	18.601	29.547	47.707	 0.000	38.118	20.248	
41.785	20.100	14.866	18.385	23.345	32.450	14.213	29.069	38.118	 0.000	34.886	
32.016	33.242	32.802	34.132	34.928	34.234	21.190	55.803	20.248	34.886	 0.000	
