 0.000	 5.000	22.472	21.190	36.878	41.304	13.038	15.133	57.201	41.049	48.374	
 5.000	 0.000	21.633	26.000	38.275	45.044	17.464	19.026	58.830	41.110	50.567	
22.472	21.633	 0.000	30.463	20.224	36.674	22.561	20.248	40.162	19.849	34.132	
21.190	26.000	30.463	 0.000	32.016	24.187	 9.220	10.296	48.549	41.110	38.013	
36.878	38.275	20.224	32.016	 0.000	23.022	29.155	25.554	20.591	11.180	14.000	
41.304	45.044	36.674	24.187	23.022	 0.000	28.636	26.173	29.428	34.132	19.026	
13.038	17.464	22.561	 9.220	29.155	28.636	 0.000	 3.606	48.104	36.401	38.288	
15.133	19.026	20.248	10.296	25.554	26.173	 3.606	 0.000	44.553	32.985	34.828	
57.201	58.830	40.162	48.549	20.591	29.428	48.104	44.553	 0.000	23.000	10.770	
41.049	41.110	19.849	41.110	11.180	34.132	36.401	32.985	23.000	 0.000	21.471	
48.374	50.567	34.132	38.013	14.000	19.026	38.288	34.828	10.770	21.471	 0.000	
