
17,-11
-26,26
9,-14
-2,-49
21,-41
30,-6
-25,-17
33,-3
2,15
-22,-1
39,27
-16,32
31,8
-32,-9
30,11
35,49
2,-41
-23,-38
47,26
15,19
35,-5
-37,13
29,-2
-40,-19
-37,41
30,-48
-30,16
35,3
-26,5
44,6
18,29
5,-29
-9,-15
35,-12
-39,0
-43,46
46,22
-39,-23
-30,24
-40,-16
-33,-8
-14,-13
-42,23
40,-17
-21,-14
39,-1
17,47
20,-42
-18,-43
-3,45
8,-44
-7,-44
29,5
-17,49
-21,45
-17,-4
-13,-28
-15,-5
45,27
-20,26
-37,-30
-24,-18
19,-2
-9,3
6,-10
-50,16
-4,-7
22,27
48,7
27,29
2,12
-25,39
34,10
36,-18
-13,-33
10,-48
39,36
-15,-40
37,26
13,-7
18,-35
11,-36
8,-17
-6,7
-8,-29
38,44
33,-36
-15,-30
-24,-29
-46,-34
-12,14
-32,29
-47,-45
39,40
-17,-46
35,-49
-31,-4
18,28
-19,-38
37,-25
35,25
-31,-30
-9,-44
42,-30
29,46
-14,20
11,-44
-1,14
14,-11
-44,47
-7,41
1,-35
39,21
43,22
33,-18
47,-30
-43,18
-10,-49
24,35
-29,-45
31,-41
25,-8
-35,27
8,29
-34,14
-21,-39
-43,30
-24,46
1,21
-30,36
-47,-33
8,13
35,48
14,-39
-15,35
-33,-33
-4,-6
9,11
-29,20
43,39
-16,24
3,-8
-44,29
40,-41
-47,-39
45,-44
30,3
19,16
-47,35
-21,-11
-28,-4
-42,18
41,17
32,14
-13,-23
4,-26
-49,-43
-32,-43
-12,-42
-34,-9
21,13
-50,2
18,-29
20,-27
-43,49
-36,31
48,-28
0,-9
40,-18
-45,29
9,9
5,-38
-32,23
-31,7
-16,37
0,-45
0,0
-41,20
-26,-19
43,33
-19,-42
14,31
-20,-36
-28,22
48,-23
-46,7
-11,9
-29,7
-17,-10
16,-31
-23,19
26,-21
21,36
49,45
19,-5
28,2
3,-7
-17,33
-41,5
-42,-42
-15,-38
-33,24
21,-11
33,6
-19,-48
25,-39
21,-46
42,-8
40,42
40,-39
39,18
14,-8
13,47
27,23
-45,35
-17,-10
-1,0
-36,23
-9,-1
31,23
1,-41
34,24
-37,26
-33,5
-30,-43
16,-41
-23,-20
-47,41
30,-17
-34,35
20,-1
-25,-30
49,41
43,-9
42,-24
16,-6
-15,-48
-32,-2
-20,37
-47,-47
-4,20
14,24
2,18
-33,-18
-49,-17
19,-27
32,-4
-7,-17
-13,38
-24,-20
-35,-6
-24,0
-4,46
1,27
34,4
30,32
26,-6
-42,-21
14,-25
-37,-33
-40,33
-9,42
-21,-14
28,-31
27,-46
-49,42
-1,-23
44,-3
25,-5
-26,-39
2,6
44,-22
3,-48
7,19
30,21
37,40
4,30
-15,-15
-34,-37
4,43
19,5
-13,20
-16,34
-32,-40
31,44
-29,-17
-47,17
12,6
20,21
-25,-48
-8,14
42,-2
-6,-23
-14,-37
42,40
8,12
-4,-2
34,-18
-18,-48
-8,-37
-1,-34
-3,-46
33,11
-38,-45
-18,39
-43,-23
4,-50
-23,0
29,13
-35,22
-44,24
36,-46
-28,20
-14,-44
-25,-19
21,-24
-3,20
-20,32
-19,-8
38,-34
-19,-3
-7,-13
49,-28
38,-19
36,-47
-47,42
-21,-9
-2,-47
-39,34
-41,-14
-35,31
-36,-36
1,-6
47,-15
36,-13
1,20
-14,-4
-43,-14
18,-3
17,-44
-47,-28
0,-18
13,48
-14,24
33,47
13,0
-20,-21
15,32
24,12
19,-38
1,-30
32,37
16,-8
-27,36
39,-8
43,42
14,-7
-25,29
44,-37
-44,27
12,19
29,43
0,-6
-23,-26
8,46
-13,-41
18,21
-1,36
-37,22
22,5
17,-33
-3,33
-37,-26
13,-43
39,19
-14,2
40,-35
-5,-10
-38,-26
15,20
-30,4
-18,38
27,31
-24,-7
-45,48
48,22
-34,47
6,-21
-28,21
38,13
-10,-26
-35,-20
41,-38
20,-47
-14,37
-24,-42
43,8
-2,21
41,24
-36,46
23,-38
-29,-9
11,-21
-28,33
-50,12
-3,-10
36,-36
20,27
29,42
-17,-35
-18,9
-26,-25
-33,22
46,10
49,12
6,-26
-24,27
15,38
-44,-11
21,8
-49,20
48,-11
-13,-30
18,-34
15,-49
33,47
-38,9
-28,31
34,-31
-9,33
-17,48
-43,10
-23,-26
-2,36
-35,-31
-6,18
-8,45
-43,-19
-35,-23
-3,30
31,32
27,43
-8,2
25,-24
-27,18
11,6
16,18
-34,-4
42,14
34,9
-14,-22
-23,-20
-27,36
11,41
-37,10
-27,44
44,3
-10,-14
-45,-35
-36,-22
33,25
-14,-48
-7,-45
-50,37
19,34
-4,7
-38,-25
-11,38
-39,-50
-19,-25
-38,4
21,-43
-43,-39
45,14
28,-40
-6,12
35,31
-34,31
36,-34
-30,-43
-50,-31
15,14
-6,6
-46,6
7,-15
-17,-29
40,-46
30,-1
18,26
-36,-4
-12,8
10,-27
41,26
6,27
-6,27
-13,46
46,4
-37,-10
-40,-33
-2,-31
-45,-17
-9,45
40,23
46,8
-1,-40
6,37
